"egoid","completed_6","completed_5","completed_4","completed_3","completed_2","completed_1","euthanasia_6","euthanasia_5","euthanasia_4","euthanasia_3","euthanasia_2","euthanasia_1","fssocsec_6","fssocsec_5","fssocsec_4","fssocsec_3","fssocsec_2","fssocsec_1","fswelfare_6","fswelfare_5","fswelfare_4","fswelfare_3","fswelfare_2","fswelfare_1","jobguar_6","jobguar_5","jobguar_4","jobguar_3","jobguar_2","jobguar_1","marijuana_6","marijuana_5","marijuana_4","marijuana_3","marijuana_2","marijuana_1","toomucheqrights_6","toomucheqrights_5","toomucheqrights_4","toomucheqrights_3","toomucheqrights_2","toomucheqrights_1"
97900,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92782,"","","","","","2011-08-15 17:17:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
96362,"","","","","","2011-08-16 00:08:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0
90281,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91257,"","","","","","2011-08-16 13:50:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97942,"","","","","","2011-08-17 12:15:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
44167,"2013-06-03 16:34:11","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31583,"2013-05-06 12:04:40","2013-01-20 21:25:55","2012-08-20 13:38:49","2012-05-14 20:09:09","2012-01-29 19:04:30","2011-08-19 02:55:00",0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,NA,1,1
10281,"2013-05-04 15:24:30","2013-01-28 00:03:03","2012-09-09 12:31:26","2012-05-14 15:17:15","2012-02-10 18:15:38","2011-08-15 21:36:00",0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,1,1,1,1,NA,0,1,1,0,0,0,0,0,1,1,NA,1,1
31372,"2013-05-10 20:12:08","2013-01-29 16:04:36","2012-09-04 18:58:41","2012-05-14 22:32:43","2012-02-14 16:14:15","2011-08-20 08:45:00",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,0,1,NA,NA,NA,NA,NA
44947,"2013-05-02 13:09:28","2013-02-02 17:02:19","2012-08-27 21:26:55","2012-05-14 22:32:49","2012-01-29 20:25:38","2011-08-22 19:48:00",1,1,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1
77023,"","2013-02-05 00:40:58","2012-09-13 18:41:59","2012-06-10 22:53:13","2012-02-29 02:31:20","2011-08-16 00:08:00",NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,0
11023,"","2013-02-04 19:16:51","2012-09-14 15:37:45","2012-05-17 22:40:46","2012-02-11 15:40:27","2011-08-24 11:16:00",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,NA,1,1,1,1,1,NA,0,NA,NA,0,0,NA,1,1,NA,NA,NA
35227,"2013-05-12 21:30:56","2013-01-19 16:36:13","2012-08-24 13:31:56","","2012-02-06 04:10:42","2011-08-16 18:45:00",NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,1,1,NA,1,1,0,0,0,NA,0,0,NA,NA,NA,NA,0,0
30076,"2013-05-11 10:49:43","2013-01-31 10:18:48","2012-08-26 09:42:08","2012-05-18 09:58:35","2012-02-05 23:58:34","2011-08-24 21:54:00",NA,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,NA,0,1,0,NA,NA,0,0,0,0,0,NA,0,0,0
63063,"2013-05-12 20:44:43","2013-02-01 17:10:14","2012-09-04 01:25:26","2012-05-18 16:38:05","2012-02-14 00:03:51","2011-08-15 16:48:00",1,1,1,1,1,1,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,0,0
71518,"","2013-02-02 15:39:26","2012-08-20 16:48:37","2012-05-17 18:19:55","2012-01-28 14:59:53","2011-08-22 23:40:00",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,0,1,1,NA,0,0,0,0,0,NA,1,NA,NA,NA,0
86009,"2013-05-12 23:51:14","2013-01-24 15:58:02","2012-08-20 09:20:46","","2012-02-23 11:22:14","2011-08-15 15:46:00",0,NA,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,1,NA,0,0,0,NA,0,0,0,NA,0,NA,0,NA
47230,"","","","","2012-01-28 20:50:56","2011-09-06 20:07:00",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1
69065,"2013-05-12 16:27:51","2013-01-24 16:01:25","2012-08-20 20:47:47","2012-06-01 00:12:07","","2011-08-15 18:36:00",0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,NA,NA,1,1,NA,1,1,1,1,1,NA,1,0,1,NA,0,NA,0
16495,"2013-05-09 23:09:56","2013-01-22 10:50:55","2012-08-20 20:42:31","2012-05-15 23:23:13","2012-01-29 13:46:30","2011-08-19 00:24:00",1,1,1,1,1,NA,0,0,0,0,0,1,NA,1,1,1,NA,1,1,1,0,1,NA,NA,1,1,1,1,1,1,0,0,NA,0,0,NA
21350,"2013-05-02 10:49:09","2013-01-19 15:02:12","2012-08-20 15:21:53","2012-05-30 01:37:34","2012-02-03 12:45:24","2011-08-16 04:27:00",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,0,0,NA,0,NA,NA
94652,"","","","","","2011-08-15 15:47:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
26127,"2013-05-09 00:00:21","2013-01-23 20:34:41","2012-09-07 16:31:54","2012-05-18 03:34:28","2012-02-29 02:07:19","2011-08-19 00:58:00",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA
25544,"2013-05-10 21:38:36","2013-01-19 15:37:37","2012-08-22 11:21:28","2012-05-09 11:45:15","2012-02-24 15:35:31","2011-09-02 15:02:00",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,NA,0,0,0,NA,0
23040,"2013-05-07 22:58:27","2013-01-22 22:54:35","2012-08-20 16:43:43","2012-05-15 21:16:37","2012-01-28 21:51:15","2011-08-16 21:53:00",1,1,1,1,1,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13882,"2013-05-03 00:12:56","2013-01-20 20:38:48","2012-08-20 13:27:55","2012-05-14 17:39:45","2012-01-28 13:46:34","2011-08-16 01:27:00",1,1,NA,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,1,0,1,0,1,1,0,NA,0,NA,0,0,0,0,0,0
15548,"2013-05-10 03:24:03","","2012-09-01 13:25:54","2012-05-19 00:03:50","2012-02-22 23:15:37","2011-08-22 11:31:00",0,0,0,0,0,1,0,NA,NA,NA,0,NA,1,1,1,0,1,0,0,0,0,1,NA,1,1,1,1,1,1,1,NA,0,NA,NA,NA,NA
15071,"2013-05-09 19:33:34","2013-01-28 17:37:55","2012-08-25 10:46:11","2012-05-13 13:44:36","2012-02-05 23:27:03","2011-08-15 17:30:00",1,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,1,0,NA,0,0,NA,0
14106,"2013-05-09 21:54:24","2013-01-20 16:59:02","2012-08-20 10:21:00","2012-05-10 01:49:07","2012-01-28 15:22:05","2011-08-15 17:13:00",1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
18344,"2013-05-11 23:54:22","2013-02-04 16:22:17","2012-09-08 15:58:52","2012-05-16 15:22:06","2012-02-10 19:56:33","2011-08-15 17:42:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63188,"2013-05-13 17:06:07","2013-01-19 10:18:05","2012-08-20 15:52:29","2012-05-13 23:35:52","2012-01-28 15:15:52","2011-08-15 16:36:00",1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
88175,"2013-05-08 22:19:56","2013-01-19 18:44:07","2012-08-30 17:21:06","2012-05-18 20:15:07","2012-02-22 17:37:20","2011-08-16 09:15:00",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,0,0,0,NA,0,1,NA,1,NA,NA,1
72746,"2013-05-08 12:40:40","2013-01-19 16:33:08","2012-08-24 10:03:10","2012-05-09 13:21:35","2012-02-03 12:45:08","2011-08-16 09:54:00",1,1,1,1,1,1,0,NA,0,0,NA,0,NA,NA,NA,0,NA,0,1,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,0,NA,NA
68633,"2013-05-09 15:29:24","2013-01-19 23:06:53","2012-09-08 19:14:20","2012-05-18 23:01:04","2012-01-30 17:58:23","2011-08-23 16:10:00",NA,NA,NA,NA,0,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
23642,"2013-05-11 03:50:59","2013-01-18 21:36:43","2012-08-20 12:32:49","2012-05-15 16:14:44","2012-02-14 19:32:56","2011-08-22 23:47:00",0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,NA
46584,"","","2012-09-16 22:29:15","2012-05-17 19:06:05","2012-02-05 22:32:01","2011-08-22 16:15:00",NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,0,0,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA
25323,"2013-05-17 18:43:55","2013-02-03 21:19:35","2012-09-13 17:30:21","2012-05-23 18:57:32","2012-01-28 14:50:29","2011-08-18 03:17:00",1,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,0
36143,"2013-05-10 16:21:04","2013-02-03 15:41:42","2012-08-25 15:51:37","2012-05-14 21:14:37","2012-02-03 13:35:09","2011-08-15 21:49:00",1,1,1,1,1,1,NA,1,1,1,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,0,1,1,1,1,0,NA
39701,"2013-05-14 14:57:06","2013-02-03 13:46:14","2012-09-01 13:29:56","","2012-02-22 17:27:57","2011-08-19 02:16:00",0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,1,NA,NA,1,NA,0,0,0,NA,0,0,1,1,1,NA,1,1
24853,"2013-05-03 16:20:54","2013-01-18 21:26:57","2012-08-24 12:24:12","2012-05-14 14:56:33","","2011-08-22 15:27:00",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,1,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0
65526,"","","2012-08-20 10:56:57","2012-05-09 11:51:44","2012-01-28 12:27:41","2011-08-15 16:09:00",NA,NA,0,NA,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,0,1,NA,1
44520,"2013-05-09 21:23:37","2013-01-22 15:23:02","2012-08-21 21:57:00","2012-05-10 17:04:13","2012-01-30 00:14:41","2011-08-15 20:46:00",1,1,1,1,1,1,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1
13896,"","","","2012-05-18 14:31:51","2012-02-26 17:16:26","2011-08-15 15:23:00",NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA
18420,"2013-05-02 18:20:51","2013-01-28 20:19:51","2012-08-20 10:51:38","2012-05-20 13:01:01","2012-01-28 15:55:52","2011-08-15 20:57:00",1,1,0,0,0,0,NA,0,0,1,0,NA,NA,NA,NA,1,0,1,1,0,1,NA,0,1,1,1,0,0,0,0,0,NA,0,0,0,0
29914,"2013-05-02 09:17:46","2013-02-04 17:10:44","2012-08-21 10:57:18","2012-06-01 10:15:12","2012-01-28 12:53:52","2011-08-17 09:58:00",1,1,1,1,1,1,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,NA,1,1,1,1,1,1,0,NA,0,0,0,NA
38823,"2013-05-04 18:11:15","2013-01-30 15:55:17","2012-08-21 20:58:42","2012-05-14 15:53:08","2012-01-29 14:58:49","2011-08-16 22:22:00",0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,NA,1,1,NA,0,0,0,0,0,0,1,1,1,1,NA,1
82282,"2013-05-10 16:34:39","2013-02-02 08:52:07","2012-09-14 17:27:59","2012-05-18 22:01:48","2012-02-03 13:22:52","2011-08-16 16:13:00",1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
55594,"","","2012-09-13 20:35:12","","","2011-10-01 13:52:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0
25494,"","","2012-09-10 01:54:51","2012-05-18 18:51:27","2012-02-06 13:25:31","2011-08-16 02:07:00",NA,NA,1,1,0,1,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,1,1,1,1,NA,NA,0,NA,NA,0,NA,NA,1,1,1,1
51552,"2013-05-02 15:51:37","2013-01-21 17:30:37","2012-08-25 14:23:19","2012-05-14 19:39:09","2012-03-01 15:32:02","2011-08-31 10:12:00",1,1,1,1,1,1,NA,NA,0,NA,NA,0,0,0,0,NA,0,0,1,1,1,1,1,NA,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA
58909,"2013-05-13 12:16:13","2013-01-21 20:50:47","2012-08-22 16:20:12","2012-05-11 20:40:58","2012-01-29 23:00:27","2011-08-16 13:30:00",NA,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA
68494,"2013-05-12 21:25:17","2013-01-30 01:33:27","2012-09-04 14:37:22","2012-05-16 20:24:55","2012-02-17 01:53:22","2011-08-16 14:29:00",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,0,NA,1,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
78911,"2013-05-15 22:29:54","2013-01-20 15:46:43","2012-08-20 12:50:33","2012-05-13 15:21:16","2012-02-03 22:45:48","2011-08-15 20:23:00",1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,NA,0,NA,NA,0,0,0,0,NA,NA
84841,"2013-07-09 01:07:55","2013-02-05 23:52:28","2012-09-13 15:04:57","","2012-02-24 21:15:29","2011-08-20 01:49:00",0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,1,NA,0,0,0,NA,0,0,1,1,1,NA,NA,NA
71187,"","2013-01-22 23:28:54","2012-09-05 01:12:07","2012-05-18 18:23:02","2012-01-28 12:23:27","2011-08-15 15:33:00",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,0,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA
22931,"2013-05-06 12:42:48","2013-02-02 20:11:46","2012-09-01 14:52:57","2012-05-18 13:49:33","2012-01-28 15:46:44","2011-08-17 21:38:00",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,0,0,0,0,0,NA,1,0,0,NA,NA
17353,"2013-05-09 20:59:35","2013-01-22 12:27:27","2012-08-24 11:35:57","2012-05-17 23:22:00","2012-01-28 16:06:51","2011-08-16 22:35:00",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,NA,0,0,NA,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA,1,NA,NA,0
53884,"2013-05-03 18:13:37","2013-01-19 14:19:55","2012-08-20 12:42:43","2012-05-14 19:44:59","2012-02-05 18:57:37","2011-08-15 16:16:00",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,NA,0,0,NA,0,0,1,NA,1,NA,1,1
84215,"","2013-01-28 21:15:22","2012-09-09 17:16:34","2012-05-19 15:24:31","2012-02-17 20:25:00","2011-08-16 00:14:00",NA,1,1,NA,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,0,0,0,NA,NA,NA,0,0,0,NA,0
33094,"","","","2012-05-22 12:46:55","2012-02-10 17:32:07","2011-08-15 16:59:00",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,0
52441,"","2013-02-02 15:36:32","2012-09-07 18:49:56","2012-05-19 13:52:40","2012-02-11 14:26:09","2011-08-17 12:55:00",NA,0,NA,0,0,0,NA,1,1,NA,NA,1,NA,NA,0,NA,0,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1
66754,"2013-05-07 11:11:41","2013-01-20 04:30:25","2012-08-29 13:22:50","2012-05-09 12:35:46","2012-01-30 18:21:27","2011-08-16 03:42:00",1,1,1,1,1,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,1,1,NA,1,NA,NA,1,1,1,1,1,1,0,NA,NA,0,NA,1
45539,"2013-05-10 01:12:23","2013-02-04 14:21:28","2012-08-26 14:13:59","2012-05-20 14:22:04","2012-02-03 11:05:51","2011-08-27 16:02:00",0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
86237,"","2013-02-02 15:57:59","2012-09-10 22:38:41","2012-05-31 22:32:47","2012-02-22 17:34:32","2011-08-17 00:39:00",NA,1,1,1,1,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,1,1,1,1,1,NA,1,1,1,1,1
93944,"","","","","","2011-08-15 18:44:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
